products_id,name,description,coin,price,product_image,impact_categories_id,created_at,updated_at,deleted_at
7dcf0f20-d1c6-4d8a-8cf5-de60f5c420be,Sedotan yang Dapat Digunakan Kembali,Satu set sedotan stainless steel dengan sikat pembersih.,5,15000,"""https://storage.googleapis.com/alterra-greeve/greeve/af266a14-78bd-4076-817d-10ebec2403698158DFd-L5L.__AC_SX300_SY300_QL70_FMwebp_.webp"" , ""https://storage.googleapis.com/alterra-greeve/greeve/3e4c422e-163d-4916-bfd6-d9bb1768a57d71-3ljQvVDL._AC_SX679_.jpg""","""3ecbf571-79b6-452b-8626-c45e1a2ab671""",2024-06-01 16:00:00,,
7fbf0a60-57bf-419f-900a-a993d3168cec,Tas Katun Organik,Tas ramah lingkungan yang terbuat dari 100% katun organik.,10,45000,"""https://storage.googleapis.com/alterra-greeve/greeve/6b391e80-0aef-491e-82be-17716d7047aamessy_hair_amazingy_bag.jpg""","""2d9c8fd2-8104-470f-a8d3-4ff34993fabd"", ""3ecbf571-79b6-452b-8626-c45e1a2ab671"", ""e7f1ae18-bc65-4f29-a8c7-dd0c30ab3977""",2024-06-01 16:00:00,,
7c45085a-2466-4f5e-9ccd-bdd139751dac,Sikat Gigi Biodegradable,Sikat gigi yang terbuat dari bambu dengan bulu sikat yang dapat terurai.,7,10000,"""https://storage.googleapis.com/alterra-greeve/greeve/b27c09ea-ae32-4cfc-85e6-0c2e962305e8818HQZIZgZL.__AC_SY300_SX300_QL70_FMwebp_.webp"", ""https://storage.googleapis.com/alterra-greeve/greeve/ae7d23a8-3710-4961-a4c5-d510252fe9fc71nbjZF6TxL._AC_SX679_.jpg""","""30fc3682-a674-42e1-b420-e16fcd0c85a5""",2024-06-01 16:00:00,,
b3b4ae7a-ed2e-4163-bf71-1a00b089c8a3,Buku Catatan Ramah Lingkungan,Buku catatan yang terbuat dari kertas daur ulang dan tinta ramah lingkungan.,8,40000,"""https://storage.googleapis.com/alterra-greeve/greeve/c75dc5f6-7510-4d25-90a9-36e61112b1eaECO-notebooks.webp"", ""https://storage.googleapis.com/alterra-greeve/greeve/627c1804-50fe-4797-ae83-90f11fbd7276ECO-notebooks-2-980x980.webp""","""1350c308-05e7-4d49-a5ad-3e92b00ecba9"", ""078817ea-4fcf-4eeb-96b2-f10961826469""",2024-06-01 16:00:00,,
7dc84308-0330-41f1-8072-ca635e5055c8,Botol Air yang Dapat Digunakan Kembali,Botol air tahan lama yang terbuat dari stainless steel.,10,35000,"""https://storage.googleapis.com/alterra-greeve/greeve/d8707133-71f4-4b7e-aa76-6356f0c455d471t8zZuv+aL._AC_SY300_SX300_.jpg"", ""https://storage.googleapis.com/alterra-greeve/greeve/cc9059cf-4e00-46bc-9e21-7d2534b5d2d3718B2kwwspL._AC_SX679_.jpg""","""3ecbf571-79b6-452b-8626-c45e1a2ab671""",2024-06-01 16:00:00,,
cc8d605c-db48-40ec-b62c-826a6aa5f9a2,Pengisi Daya Tenaga Surya,Pengisi daya portabel bertenaga surya untuk perangkat Anda.,15,100000,"""https://storage.googleapis.com/alterra-greeve/greeve/55c70474-5251-421b-a4b2-7fcd9bb44272518fd648-46dc-4fbb-a2bc-15b0e57db458.jpg""","""c0c85c1d-9bb3-4e4d-a2d4-13fd458f15bc"", ""0c30941d-a7fc-438f-8ab7-5bba4f1cf57f""",2024-06-01 16:00:00,,
809db141-0071-478e-bf49-9666968c82b5,Set Alat Makan Bambu,Satu set alat makan yang dapat digunakan kembali yang terbuat dari bambu.,6,20000,"""https://storage.googleapis.com/alterra-greeve/greeve/2ea547b6-f906-44b9-af13-80705afd4528images.jpeg""","""3ecbf571-79b6-452b-8626-c45e1a2ab671"", ""30fc3682-a674-42e1-b420-e16fcd0c85a5""",2024-06-01 16:00:00,,
5d502c20-9e83-4e84-9d93-db901a3508b5,Kopi Perdagangan Adil,Biji kopi organik dan perdagangan adil.,12,35000,"""https://storage.googleapis.com/alterra-greeve/greeve/58e8b9ea-57c0-4bf2-8f36-be23fb2ccccbimages (1).jpeg""","""2d9c8fd2-8104-470f-a8d3-4ff34993fabd"", ""e7f1ae18-bc65-4f29-a8c7-dd0c30ab3977""",2024-06-01 16:00:00,,
f5e9bae2-1e04-4e2f-8ed5-319849ba8b39,Piring Kompos,Piring yang terbuat dari bahan kompos.,8,17000,"""https://storage.googleapis.com/alterra-greeve/greeve/a2720d40-a2f0-4bb2-9d96-853d39039047images (2).jpeg""","""1cd52acc-f272-4aa8-8abd-e64fb288f64c""",2024-06-01 16:00:00,,
08989b73-113e-4161-8047-9642db33fea3,Lampu Hemat Energi,Bola lampu LED yang menghemat energi dan tahan lama.,20,58000,"""https://storage.googleapis.com/alterra-greeve/greeve/4b5e6cab-59dd-4d81-988e-e1d390cb9b0c24ba49e1-c01c-4bff-bf1c-e26b0e3e660a.jpg.webp""","""0c30941d-a7fc-438f-8ab7-5bba4f1cf57f"", ""3655727a-e807-4fc1-bfad-6b7516c89b13""",2024-06-01 16:00:00,,
